ZA_ZAPIS_ID,ZA_RO_ROK,ZA_DZ_DZIAL1_ID,DZ_NAZWA,ZA_TYTUL,ZA_TYTUL_CALOSCI,ZA_TE_TEATR_ID,TE_NAZWA,ZA_OPIS_WSPOLTWORCOW,ZA_NAZWA_ADAPT_DZIELA,ZA_OPIS_ADAPT_DZIELA,ZA_ADNOTACJE
16012,1988,231,Spektakle fabularne TV,Piąty akt - opowieść o Powstaniu Styczniowym.,,,,,,"Cz. 1-2. Adapt. Maryla Rewieńska. Reż. Stefan Szlachtycz. I, 20 XI 1988, 66'; 27 XI 1988, 71'",
16013,1988,231,Spektakle fabularne TV,Noc trybad,,,,,,"I, 16 VII 1988, 113'. Prem. 1986",
16015,1988,231,Spektakle fabularne TV,Z życia glist,,,,,,"Tł. Andrzej Krajewski-Bola. Reż. Krzysztof Babicki. I, 6 VI 1988, 102'",
16016,1988,231,Spektakle fabularne TV,Węzeł,,,,,,"I, 11 VII 1988, 73'. Prem. 1987",
16017,1988,231,Spektakle fabularne TV,Dziennik,,,,,,"Adapt. pt. ""Oficyna"": Elżbieta Zaleska. Tł. Zofia Jaremko-Pytowska. Reż. Barbara Borys-Damięcka. I, 17 IV 1988, 84'",
16018,1988,231,Spektakle fabularne TV,Dyliżans,,,,,,"Reż. Jerzy Wróblewski. I, 9 V 1988, 71'",
16023,1988,231,Spektakle fabularne TV,Ławeczka,,,,,,"Tł. Jerzy Koenig. Reż. Maciej Wojtyszko. I, 3 X 1988, 80'",
16020,1988,231,Spektakle fabularne TV,Pan Jowialski,,,,,,[Emisja w 1987],
16021,1988,231,Spektakle fabularne TV,Lustro 1. Lustro 2.,,,,,,"I, 21 V 1988, 71'. Prem. 1979.",
16024,1988,231,Spektakle fabularne TV,"My, niżej podpisani",,,,,,"Tł. Jerzy Koenig. Reż. Marek Okopiński. I, 30 V 1988, 77'",
16030,1988,231,Spektakle fabularne TV,Kosmos,,,,,,"Reż. Eugeniusz Korin. II, 3 XI 1988, 143'",
16026,1988,231,Spektakle fabularne TV,"Dusia, Ryba, Wal i Leta",,,,,,"Tł. Mira Michałowska, Irena Szymańska. Reż. Barbara Sass. I, 22 II 1988, 77'",
16027,1988,231,Spektakle fabularne TV,Pokojówki,,,,,,"Tł. Jan Błoński. Reż. Jan Buchwald. II, 20 IV 1988, 85'",
16028,1988,231,Spektakle fabularne TV,Ferdydurke,,,,,,"I, 15 VIII 1988, 128'. Prem. 1986",
16032,1988,231,Spektakle fabularne TV,"Dom, który zbudował Jonathan Swift",,,,,,"Tł. Janina Karczmarewicz-Fedorowska. I, 11 IV 1988, 127'",
16125,1988,231,Spektakle fabularne TV,Opowieści Hollywoodu,,,,,,"I, 29 VIII 1988, 140'. Prem. 1987.",
16128,1988,231,Spektakle fabularne TV,Portret podwójny,,,,,,"Tł. Wanda Urstein, Tadeusz Żeromski. Reż. Michał Kwieciński. I, 7 III 1988, 53'",
16136,1988,231,Spektakle fabularne TV,"To, co najpiękniejsze",,,,,,"Tekst narracji Wojciech Młynarski. Reż. Andrzej Łapicki. I, 18 I 1988, 97'; [powtórna emisja;] I, 1 VIII 1988",
16138,1988,231,Spektakle fabularne TV,Czupurek,,,,,,[Emisja 1986],
16140,1988,231,Spektakle fabularne TV,Dacza,,,,,,"Reż. Tomasz Zygadło. I, 5 IX 1988, 93'",
16142,1988,231,Spektakle fabularne TV,Umrzeć ze śmiechu,,,,,,"Reż. Jacek Janczarski. I, 20 VI 1988, 95'",
16145,1988,231,Spektakle fabularne TV,Wygnańcy,,,,,,"Tł. Zofia Porembska, Lucjan Porembski. Reż. Kazimierz Kutz. I, 10 X 1988, 134'",
16146,1988,231,Spektakle fabularne TV,Osiem lalek i jeden miś,,,,,,"Reż. Wojciech Skibiński. I, 23 X 1988, 52'",
16148,1988,231,Spektakle fabularne TV,Proces,,,,,,"Tł. Bruno Schulz. Reż. Wiesław Hejno. II, 11 VIII 1988, 66'",[Wersja TV spektaklu Teatru Lalek we Wrocławiu]
16150,1988,231,Spektakle fabularne TV,Obora,,,,,,[Emisja w 1987],
16151,1988,231,Spektakle fabularne TV,Niech sczezną artyści,,,,,,"II, 14 VII 1988, 78'",[Przeniesienie z Teatru im. J. Słowackiego w Krakowie]
16153,1988,231,Spektakle fabularne TV,Nie-Boska komedia,,,,,,"I, 16 V 1988, 118'. Prem. 1983",
16154,1988,231,Spektakle fabularne TV,Cudzoziemka,,,,,,"I, 15 X 1988, 70'. Prem. 1970",
16156,1988,231,Spektakle fabularne TV,Zdziczenie obyczajów pośmiertnych,,,,,,[Emisja 1987],
16160,1988,231,Spektakle fabularne TV,Pięćdziesiąt  dukatów,,,,,,"Reż. tefan Szlachtycz. I, 15 II 1988, 107'",
16163,1988,231,Spektakle fabularne TV,Dziady,,,,,,"I, 31 X 1988, 191' [emisja w 2 cz.]. Prem. 1983",
16166,1988,231,Spektakle fabularne TV,Martwa natura,,,,,,"Reż. Natalia Koryncka. II, 24 II 1988, 38'",
16169,1988,231,Spektakle fabularne TV,Serenada. Lis Aspirant. Polowanie na lisa,,,,,,"Adapt. pt. ""Polowanie na lisa"". Reż. Janusz Zaorski. I, 8 II 1988, 76'",[Przeniesienie z Teatru Kwadrat w Warszawie]
26912,1989,231,Spektakle fabularne TV,Polka prosto z kraju,,,,,,"Reż. Anna Minkiewicz. I, 27 III 1989, 76'; [powtórna emisja:] I, 31 VII 1989",
26913,1989,231,Spektakle fabularne TV,Ostatnia taśma,,,,,,"Tł. i reż. Antoni Libera. II, 26 I 1989, 53'",
