ZA_ZAPIS_ID,ZA_RO_ROK,ZA_DZ_DZIAL1_ID,DZ_NAZWA,ZA_TYTUL,ZA_TYTUL_CALOSCI,ZA_TE_TEATR_ID,TE_NAZWA,ZA_OPIS_WSPOLTWORCOW,ZA_NAZWA_ADAPT_DZIELA,ZA_OPIS_ADAPT_DZIELA,ZA_ADNOTACJE,tytul_clean,data_premiery,program_tv,emisje
15883,1988,231,Spektakle fabularne TV,Teraz na ciebie zagłada,,,,,,"Reż. Tadeusz Kijański. II, 20 I 1988, 79'",,Teraz na ciebie zagłada,,II,"[{'data': '20 I 1988', 'czas_min': 79}]"
15885,1989,231,Spektakle fabularne TV,"Ej Joe, Trio widm, Jak obłoki, Nacht und Traueme",,,,,,"Tł. i reż. Antoni Libera. II, 15 XII 1988, 74'",,"Ej Joe, Trio widm, Jak obłoki, Nacht und Traueme",,II,"[{'data': '15 XII 1988', 'czas_min': 74}]"
15958,1988,231,Spektakle fabularne TV,Bez kurtyny,,,,,,"Tł. Kamilla Klein-Majdecka, Józef Paszkowski. Reż. Zdzisław Wardejn. I, 30 XII 1988, 79'",,Bez kurtyny,,I,"[{'data': '30 XII 1988', 'czas_min': 79}]"
15959,1988,231,Spektakle fabularne TV,Po próbie,,,,,,"Tł. Zygmunt Łanowski. Reż. Jan Maciejowski. II, 17 XI 1988, 76'",,Po próbie,,II,"[{'data': '17 XI 1988', 'czas_min': 76}]"
15960,1988,231,Spektakle fabularne TV,Od ojca do syna - listy. Wybór poezji,,,,,,"Reż. Aleksander Bardini. I, 21 XI 1988, 22'",,Od ojca do syna - listy. Wybór poezji,,I,"[{'data': '21 XI 1988', 'czas_min': 22}]"
15965,1988,231,Spektakle fabularne TV,"Zapisz to, Miron",,,,,,"Adapt. Ryszard Major. II, 10 II 1988, 75'",[Przeniesienie z Teatru Powszechnego w Warszawie],"Zapisz to, Miron",,II,"[{'data': '10 II 1988', 'czas_min': 75}]"
15966,1989,231,Spektakle fabularne TV,Rachunek błędów,,,,,,Reż. Andrzej Chrzanowski. [Emisja 1988],,Rachunek błędów,,,[]
15967,1988,231,Spektakle fabularne TV,Tym razem żegnaj na zawsze. (O Marii Wisnowskiej),,,,,,"Cz. 1: Aktorka, cz. 2: Proces.  Reż. Barbara Borys-Damięcka. II, 9 III 1988, 124'",,Tym razem żegnaj na zawsze. (O Marii Wisnowskiej),,II,"[{'data': '9 III 1988', 'czas_min': 124}]"
15968,1988,231,Spektakle fabularne TV,Dekameron,,,,,,[Emisja 1987],,Dekameron,,,[]
15969,1988,231,Spektakle fabularne TV,Święty las,,,,,,"Adapt. pt. ""Brodway, mój Brodway"". Reż. Tomasz Wiszniewski. II, 8 IX 1988, 59'",,Święty las,,II,"[{'data': '8 IX 1988', 'czas_min': 59}]"
15970,1988,231,Spektakle fabularne TV,Przy kominku (Widowisko do muzyki S. Moniuszki),,,,,," Reż. Maria Fołtyn. II, 5 V 1988, 66'",[Przeniesienie z Teatru Wielkiego w Warszawie],Przy kominku (Widowisko do muzyki S. Moniuszki),,II,"[{'data': '5 V 1988', 'czas_min': 66}]"
15972,1988,231,Spektakle fabularne TV,Morfina,,,,,,"Tł. Ałła Sarachanowa. Reż. Krzysztof Babicki. I, 21 III 1988, 70'",,Morfina,,I,"[{'data': '21 III 1988', 'czas_min': 70}]"
15973,1988,231,Spektakle fabularne TV,Powieść teatralna,,,,,,"I, 18 III 1988, 110'. Prem. 1987",,Powieść teatralna,1987.0,I,"[{'data': '18 III 1988', 'czas_min': 110}]"
