ZA_ZAPIS_ID,ZA_RO_ROK,ZA_DZ_DZIAL1_ID,DZ_NAZWA,ZA_TYTUL,ZA_TYTUL_CALOSCI,ZA_TE_TEATR_ID,TE_NAZWA,ZA_OPIS_WSPOLTWORCOW,ZA_NAZWA_ADAPT_DZIELA,ZA_OPIS_ADAPT_DZIELA,ZA_ADNOTACJE,tytul_clean,data_premiery,program_tv,emisje
17330,1988,231,Spektakle fabularne TV,Dom kobiet,,,,,,[Emisja 1987],,Dom kobiet,,,[]
17334,1988,231,Spektakle fabularne TV,Księżyc świeci nieszczęśliwym,,,,,,"Tł. Krystyna Tarnowska. Reż. Jan Englert. I, 5 XII 1988, 124'",,Księżyc świeci nieszczęśliwym,,I,"[{'data': '5 XII 1988', 'czas_min': 124}]"
17336,1988,231,Spektakle fabularne TV,Aszantka,,,,,,[Emisja 1987],,Aszantka,,,[]
17339,1988,231,Spektakle fabularne TV,Dziewięćdziesiąty trzeci,,,,,,"Reż. Edward Wotaszek. I, 25 I 1988, 95'",,Dziewięćdziesiąty trzeci,,I,"[{'data': '25 I 1988', 'czas_min': 95}]"
17342,1988,231,Spektakle fabularne TV,Głupi Jakub,,,,,,"Reż. Michał Kwieciński. I, 21 XI 1988, 104'",,Głupi Jakub,,I,"[{'data': '21 XI 1988', 'czas_min': 104}]"
17344,1988,231,Spektakle fabularne TV,Odwiedziny o zmroku,,,,,,"Rez. Maciej Wojtyszko. I, 2 IX 1988, 29'",,Odwiedziny o zmroku,,I,"[{'data': '2 IX 1988', 'czas_min': 29}]"
17346,1988,231,Spektakle fabularne TV,W małym dworku,,,,,,[Emisja 1987],,W małym dworku,,,[]
17348,1988,231,Spektakle fabularne TV,Odejście głodomora,,,,,,"Reż. Jan Różewicz. II, 1 XII 1988, 80'",,Odejście głodomora,,II,"[{'data': '1 XII 1988', 'czas_min': 80}]"
17349,1988,231,Spektakle fabularne TV,O cudownym Narodzeniu Pańskim,,,,,,"Reż. Jan Skotnicki. I, 4 I 1988, 78'",,O cudownym Narodzeniu Pańskim,,I,"[{'data': '4 I 1988', 'czas_min': 78}]"
17352,1988,231,Spektakle fabularne TV,Emeryt,,,,,,"Reż. Waldemar Śmigasiewicz. II, 19 V 1988, 55'",,Emeryt,,II,"[{'data': '19 V 1988', 'czas_min': 55}]"
17355,1988,231,Spektakle fabularne TV,Hamlet,,,,,,"I, 27 VIII 1988, 120'. Prem. 1974",,Hamlet,1974.0,I,"[{'data': '27 VIII 1988', 'czas_min': 120}]"
17357,1988,231,Spektakle fabularne TV,Makbet,,,,,,"Tł. Jerzy Stanisław Sito. Reż. Krzysztof Nazar. I, 28 III 1988, 143'",,Makbet,,I,"[{'data': '28 III 1988', 'czas_min': 143}]"
17360,1988,231,Spektakle fabularne TV,Król Edyp,,,,,,"I, 25 VI 1988, 78'. Prem. 1975",,Król Edyp,1975.0,I,"[{'data': '25 VI 1988', 'czas_min': 78}]"
17364,1988,231,Spektakle fabularne TV,Replika,,,,,,"Reż. Józef Szajna. II, 23 III 1988, 52'",,Replika,,II,"[{'data': '23 III 1988', 'czas_min': 52}]"
17366,1988,231,Spektakle fabularne TV,Chłopiec latający,,,,,,"Reż. Marek Okopiński. I, 2 V 1988, 53'",,Chłopiec latający,,I,"[{'data': '2 V 1988', 'czas_min': 53}]"
17370,1988,231,Spektakle fabularne TV,Papierowy kochanek,,,,,,"Reż. Ignacy Gogolewski. I, 16 IX 1988, 78'",,Papierowy kochanek,,I,"[{'data': '16 IX 1988', 'czas_min': 78}]"
17371,1988,231,Spektakle fabularne TV,Pasjans,,,,,,[Emisja 1987],,Pasjans,,,[]
17373,1988,231,Spektakle fabularne TV,Bezimienne dzieło,,,,,,"Rez. Jan Englert. II, 22 IX 1988, 103'",,Bezimienne dzieło,,II,"[{'data': '22 IX 1988', 'czas_min': 103}]"
17376,1988,231,Spektakle fabularne TV,Szalona lokomotywa,,,,,,"Reż. Jacek Bunsch. II, 5 V 1988, 63'",,Szalona lokomotywa,,II,"[{'data': '5 V 1988', 'czas_min': 63}]"
17378,1988,231,Spektakle fabularne TV,Noc listopadowa,,,,,,"I, 14 III 1988, 107'. Prem. 1978",,Noc listopadowa,1978.0,I,"[{'data': '14 III 1988', 'czas_min': 107}]"
17381,1988,231,Spektakle fabularne TV,Wesele,,,,,,"I, 12 IX 1988, 115'. Prem. 1981",,Wesele,1981.0,I,"[{'data': '12 IX 1988', 'czas_min': 115}]"
17382,1988,231,Spektakle fabularne TV,Tamten,,,,,,"Reż. Maciej Prus. I, 14 XI 1988, 94'",,Tamten,,I,"[{'data': '14 XI 1988', 'czas_min': 94}]"
17384,1988,231,Spektakle fabularne TV,Żabusia,,,,,,"Reż. Olga Lipińska. I, 26 XII 1988, 74'",,Żabusia,,I,"[{'data': '26 XII 1988', 'czas_min': 74}]"
15862,1988,231,Spektakle fabularne TV,Maestro,,,,,,Reż. Marek Nowicki. [W real.],,Maestro,,,[]
15865,1988,231,Spektakle fabularne TV,Mała syrena,,,,,,"Tł. Stefania Beylin. Reż. Andrzej May. I, 22 V 1988, 52'",,Mała syrena,,I,"[{'data': '22 V 1988', 'czas_min': 52}]"
15870,1988,231,Spektakle fabularne TV,Popiół i diament,,,,,,"I, 3 IX 1988, 119'. Prem. 1974.",,Popiół i diament,1974.0,I,"[{'data': '3 IX 1988', 'czas_min': 119}]"
15880,1988,231,Spektakle fabularne TV,Prometeusz,,,,,,[Emisja 1987],,Prometeusz,,,[]
