"ZA_ZAPIS_ID","ZA_RO_ROK","ZA_DZ_DZIAL1_ID","DZ_NAZWA","ZA_RZ_RODZAJ1_ID","RZ_NAZWA","ZA_TYTUL","ZA_TYTUL_CALOSCI","ZA_OPIS_CALOSCI","ZA_TYTUL_ORYGINALU","ZA_TE_TEATR_ID","TE_NAZWA","ZA_OPIS_WSPOLTWORCOW","ZA_JEZYK_ORYGINALU","ZA_TYTUL_ADAPT_DZIELA","ZA_NAZWA_ADAPT_DZIELA","ZA_OPIS_ADAPT_DZIELA","ZA_ADNOTACJE"
224789,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Każdemu skarb. Prem. 1993,,,,21,Teatr Dramatyczny im. A. Węgierki,Reż. Tadeusz Kwinta,,,,,
224790,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Czapa. Prem. 1993,,,,21,Teatr Dramatyczny im. A. Węgierki,Reż. Jerzy Hutek,,,,,
224791,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Antygona. Prem. 1993,,,,21,Teatr Dramatyczny im. A. Węgierki,Tł. Stanisław Hebanowski. Reż. Ansrzej Jakimiec,,,,,
224792,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Ambasador. Prem. 1993,,,,21,Teatr Dramatyczny im. A. Węgierki,Reż. Andrzej Jakimiec,,,,,
224793,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Za 10 tysięcy załatwiam prezenty. Prem. 1993,,,,824,Białostocki Teatr Lalek,Reż. aut.,,,,,
224794,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Król jeleni. Prem. 1993,,,,824,Białostocki Teatr Lalek,Tł. Joanna Walter. Reż. Wojciech Kobrzyński,,,,,
224893,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Peepshow u Holzerów. Prem. 1993,,,,41,Teatr Polski,Tł. Danuta Żmij-Zielińska. Reż. Marek Gaj,,,,,
224894,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Królewna Śnieżka. Prem. 1993,,,,41,Teatr Polski,Reż. Karol Suszka,,,,Wg braci Grimm,
224895,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Jaś i Małgosia. Prem. 1993,,,,827,"Teatr Lalek ""Banialuka"" im. Jerzego Zitzmana w Bielsku-Białej (d. Ośrodek Teatralny ""Banialuka"")",Reż. Andrzej Łabiniec,,,,,
224899,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Cycek. Prem. 1993,,,,42,Teatr Polski im. Hieronima Konieczki (do  2000: Teatr Polski),Reż. Andrzej Maria Marczewski,,,,,
224900,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Hłasko. Prem. 1993,,,,42,Teatr Polski im. Hieronima Konieczki (do  2000: Teatr Polski),Sc. Andrzej Czerny. Reż. Maciej Dejczer,,,,"Wg ""Pięknych dwudziestoletnich""",
224901,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Mistrz i Małgorzata. Prem. 1993,,,,42,Teatr Polski im. Hieronima Konieczki (do  2000: Teatr Polski),"Tł. Irena Lewandowska, Witold Dąbrowski. Reż. Andrzej Maria Marczewski",,,,,
224902,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Betlejem polskie. Prem. 1993,,,,42,Teatr Polski im. Hieronima Konieczki (do  2000: Teatr Polski),Reż. Andrzej Rozhin,,,,,
224905,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Łagodna. Prem. 1993,,,,42,Teatr Polski im. Hieronima Konieczki (do  2000: Teatr Polski),Tł. Gabriel Karski. Reż. Czesław Lasota,,,,,
