ZA_ZAPIS_ID,ZA_RO_ROK,ZA_DZ_DZIAL1_ID,DZ_NAZWA,ZA_TYTUL,ZA_TYTUL_CALOSCI,ZA_TE_TEATR_ID,TE_NAZWA,ZA_OPIS_WSPOLTWORCOW,ZA_NAZWA_ADAPT_DZIELA,ZA_OPIS_ADAPT_DZIELA,ZA_ADNOTACJE,tytul_clean,data_premiery,uwagi
168308,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Cząber z Gombra. Prem. 1992,,892,Teatr Nowy**,Reż. Adam Hanuszkiewicz,,Sc. na podst. twórcz. Witolda Gombrowicza,,Cząber z Gombra,1992.0,
168309,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",Panna Izabela. Prem. 1993,,892,Teatr Nowy**,Sc. i reż. Adam Hanuszkiewicz,,"Wg ""Lalki"" Bolesława Prusa",,Panna Izabela,1993.0,
168312,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Seans. Prem. 1992,,892,Teatr Nowy**,Tł. Irena Babel. Reż. Adam Hanuszkiewicz,,,,Seans,1992.0,
168344,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Duńska historia. Prem. 1992,,893,Teatr Ochoty - Ośrodek Kultury Teatralnej,Tł. Hanna i Witold Lisieccy. Reż. aut.,,"Wg ""Brzydkiego kaczątka"" Hansa Christiana Andersena",,Duńska historia,1992.0,
168348,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Pan Jowialski. Prem. 1992,,894,Teatr Polski**,Reż. Kazimierz Dejmek,,,,Pan Jowialski,1992.0,
168352,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Radosny jubileusz. Prem. 1992,,894,Teatr Polski**,Reż. aut.,,,,Radosny jubileusz,1992.0,
168354,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Oni. Prem. 1992,,895,Teatr Powszechny im. Z. Huebnera (do 1989: Teatr Powszechny),Reż. Rudolf Zioło,,,,Oni,1992.0,
168355,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Miłość i gniew. Prem. 1992,,889,Teatr Komedia - Północne Centrum Sztuki (do 1990: Teatr Komedia; do 1994: Teatr Północny),"Tł. Wacława Komarnicka, Krystyna Tarnowska. Reż. Krzysztof Kolberger",,,,Miłość i gniew,1992.0,
168358,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Mały książę. Prem. 1992,,889,Teatr Komedia - Północne Centrum Sztuki (do 1990: Teatr Komedia; do 1994: Teatr Północny),Tł. Jan Szwykowski. Reż. Tadeusz Kwinta,,,,Mały książę,1992.0,
168367,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Big Zbig show. Prem. 1992,,900,"Teatr ""Rampa"" na Targówku",Sc. i reż. Magda Umer,,,,Big Zbig show,1992.0,
168370,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Kundel. Prem. 1992,,900,"Teatr ""Rampa"" na Targówku",Sc. i reż. Andrzej Strzelecki,,,,Kundel,1992.0,
168375,1992,449,"Teatry od 1945 r. (omówienia, repertuar)","Julio, jesteś czarująca. Prem. 1992",,902,"Scena ""Prezentacje""","Tł. Ewa Bonacka, Barbara Molska. Reż. Romuald Szejd",,,,"Julio, jesteś czarująca",1992.0,
